jml_pembelian,total_harga,kategori_Coffee,kategori_Food,kategori_Non_Coffee,average_price,ratio_Coffee,ratio_Food,ratio_Non_Coffee,predicted_cluster
2,36000,36000,0,0,18000.0,1.0,0.0,0.0,1
5,84000,54000,30000,0,16800.0,0.6428571428571429,0.35714285714285715,0.0,3
2,30000,0,30000,0,15000.0,0.0,1.0,0.0,2
4,20000,0,0,20000,5000.0,0.0,0.0,1.0,4
2,36000,36000,0,0,18000.0,1.0,0.0,0.0,1
8,99000,84000,0,15000,12375.0,0.8484848484848485,0.0,0.15151515151515152,3
3,45000,0,45000,0,15000.0,0.0,1.0,0.0,2
2,18000,0,18000,0,9000.0,0.0,1.0,0.0,2
2,30000,0,0,30000,15000.0,0.0,0.0,1.0,0
4,48000,48000,0,0,12000.0,1.0,0.0,0.0,1
1,10000,10000,0,0,10000.0,1.0,0.0,0.0,1
2,27000,18000,9000,0,13500.0,0.6666666666666666,0.3333333333333333,0.0,1
3,15000,0,0,15000,5000.0,0.0,0.0,1.0,4
3,54000,54000,0,0,18000.0,1.0,0.0,0.0,1
7,56000,36000,0,20000,8000.0,0.6428571428571429,0.0,0.35714285714285715,3
3,54000,54000,0,0,18000.0,1.0,0.0,0.0,1
2,36000,36000,0,0,18000.0,1.0,0.0,0.0,1
3,45000,0,0,45000,15000.0,0.0,0.0,1.0,0
1,8000,0,8000,0,8000.0,0.0,1.0,0.0,2
3,25000,0,0,25000,8333.333333333334,0.0,0.0,1.0,4
6,90000,72000,18000,0,15000.0,0.8,0.2,0.0,3
2,24000,24000,0,0,12000.0,1.0,0.0,0.0,1
1,18000,18000,0,0,18000.0,1.0,0.0,0.0,1
3,36000,36000,0,0,12000.0,1.0,0.0,0.0,1
2,20000,20000,0,0,10000.0,1.0,0.0,0.0,1
2,30000,0,0,30000,15000.0,0.0,0.0,1.0,0
1,9000,0,9000,0,9000.0,0.0,1.0,0.0,2
2,36000,36000,0,0,18000.0,1.0,0.0,0.0,1
2,18000,0,18000,0,9000.0,0.0,1.0,0.0,2
2,10000,0,0,10000,5000.0,0.0,0.0,1.0,4
4,32000,0,32000,0,8000.0,0.0,1.0,0.0,2
3,25000,20000,0,5000,8333.333333333334,0.8,0.0,0.2,1
2,10000,0,0,10000,5000.0,0.0,0.0,1.0,4
2,36000,36000,0,0,18000.0,1.0,0.0,0.0,1
1,10000,10000,0,0,10000.0,1.0,0.0,0.0,1
2,30000,0,0,30000,15000.0,0.0,0.0,1.0,0
2,18000,0,18000,0,9000.0,0.0,1.0,0.0,2
1,15000,0,0,15000,15000.0,0.0,0.0,1.0,0
2,30000,0,0,30000,15000.0,0.0,0.0,1.0,0
1,15000,0,0,15000,15000.0,0.0,0.0,1.0,0
2,10000,0,0,10000,5000.0,0.0,0.0,1.0,4
7,75000,0,60000,15000,10714.285714285714,0.0,0.8,0.2,3
1,5000,0,0,5000,5000.0,0.0,0.0,1.0,4
3,42000,42000,0,0,14000.0,1.0,0.0,0.0,1
1,12000,12000,0,0,12000.0,1.0,0.0,0.0,1
3,45000,0,45000,0,15000.0,0.0,1.0,0.0,2
2,25000,10000,0,15000,12500.0,0.4,0.0,0.6,0
2,30000,0,0,30000,15000.0,0.0,0.0,1.0,0
1,15000,0,0,15000,15000.0,0.0,0.0,1.0,0
1,10000,10000,0,0,10000.0,1.0,0.0,0.0,1
1,12000,12000,0,0,12000.0,1.0,0.0,0.0,1
3,27000,0,27000,0,9000.0,0.0,1.0,0.0,2
4,45000,30000,0,15000,11250.0,0.6666666666666666,0.0,0.3333333333333333,1
1,18000,18000,0,0,18000.0,1.0,0.0,0.0,1
6,84000,0,24000,60000,14000.0,0.0,0.2857142857142857,0.7142857142857143,3
6,84000,24000,0,60000,14000.0,0.2857142857142857,0.0,0.7142857142857143,3
4,42000,42000,0,0,10500.0,1.0,0.0,0.0,1
1,18000,18000,0,0,18000.0,1.0,0.0,0.0,1
1,10000,10000,0,0,10000.0,1.0,0.0,0.0,1
1,15000,0,15000,0,15000.0,0.0,1.0,0.0,2
1,15000,0,15000,0,15000.0,0.0,1.0,0.0,2
1,9000,0,9000,0,9000.0,0.0,1.0,0.0,2
2,24000,24000,0,0,12000.0,1.0,0.0,0.0,1
1,15000,0,0,15000,15000.0,0.0,0.0,1.0,0
2,36000,36000,0,0,18000.0,1.0,0.0,0.0,1
2,18000,0,18000,0,9000.0,0.0,1.0,0.0,2
1,18000,18000,0,0,18000.0,1.0,0.0,0.0,1
5,56000,56000,0,0,11200.0,1.0,0.0,0.0,1
4,60000,0,0,60000,15000.0,0.0,0.0,1.0,0
3,39000,24000,15000,0,13000.0,0.6153846153846154,0.38461538461538464,0.0,1
1,15000,0,0,15000,15000.0,0.0,0.0,1.0,0
3,15000,0,0,15000,5000.0,0.0,0.0,1.0,4
1,18000,18000,0,0,18000.0,1.0,0.0,0.0,1
1,5000,0,0,5000,5000.0,0.0,0.0,1.0,4
2,30000,0,0,30000,15000.0,0.0,0.0,1.0,0
1,10000,10000,0,0,10000.0,1.0,0.0,0.0,1
3,36000,0,36000,0,12000.0,0.0,1.0,0.0,2
1,15000,0,0,15000,15000.0,0.0,0.0,1.0,0
2,10000,0,0,10000,5000.0,0.0,0.0,1.0,4
1,18000,18000,0,0,18000.0,1.0,0.0,0.0,1
3,45000,0,45000,0,15000.0,0.0,1.0,0.0,2
4,20000,0,0,20000,5000.0,0.0,0.0,1.0,4
3,28000,18000,0,10000,9333.333333333334,0.6428571428571429,0.0,0.35714285714285715,1
4,60000,0,0,60000,15000.0,0.0,0.0,1.0,0
1,18000,18000,0,0,18000.0,1.0,0.0,0.0,1
4,72000,72000,0,0,18000.0,1.0,0.0,0.0,1
