tanggal,waktu_pembelian,jml_pembelian,harga,kategori,menu,total_harga,order
28-04-2024,22:39,1,10000,Coffee,Espresso,10000,dine-in
09-05-2024,21:28,2,15000,Non-Coffee,Milk Shake,30000,takeaway
26-06-2024,14:38,1,18000,Coffee,Latte,18000,dine-in
12-05-2024,18:49,1,12000,Coffee,Vietnam Drip,12000,dine-in
14-05-2024,14:46,1,5000,Non-Coffee,Tea,5000,dine-in
23-06-2024,15:32,2,12000,Coffee,Vietnam Drip,24000,dine-in
13-06-2024,14:42,3,18000,Coffee,Cappucinno,54000,dine-in
04-06-2024,15:56,3,12000,Food,Tahu Bakso,36000,dine-in
03-04-2024,17:38,2,10000,Coffee,Espresso,20000,dine-in
09-05-2024,21:50,1,12000,Coffee,Vietnam Drip,12000,dine-in
